Code,Country,State,Zip/Post Code,Rate,zip_is_range,zip_from,zip_to
AF,AF,*,*,0,,,
ZA,ZA,*,*,0,,,
AL,AL,*,*,0,,,
DZ,DZ,*,*,0,,,
DE,DE,*,*,20,,,
AD,AD,*,*,20,,,
AO,AO,*,*,0,,,
AI,AI,*,*,0,,,
AQ,AQ,*,*,0,,,
AG,AG,*,*,0,,,
AN,AN,*,*,20,,,
SA,SA,*,*,0,,,
AR,AR,*,*,0,,,
AM,AM,*,*,0,,,
AW,AW,*,*,0,,,
AU,AU,*,*,0,,,
AT,AT,*,*,20,,,
AZ,AZ,*,*,0,,,
BS,BS,*,*,0,,,
BH,BH,*,*,0,,,
BD,BD,*,*,0,,,
BB,BB,*,*,0,,,
BE,BE,*,*,20,,,
BZ,BZ,*,*,0,,,
BM,BM,*,*,0,,,
BT,BT,*,*,0,,,
BO,BO,*,*,0,,,
BA,BA,*,*,0,,,
BW,BW,*,*,0,,,
BN,BN,*,*,0,,,
BR,BR,*,*,0,,,
BG,BG,*,*,20,,,
BF,BF,*,*,0,,,
BI,BI,*,*,0,,,
BY,BY,*,*,0,,,
BJ,BJ,*,*,0,,,
KH,KH,*,*,0,,,
CM,CM,*,*,0,,,
CA,CA,*,*,0,,,
CV,CV,*,*,0,,,
CL,CL,*,*,0,,,
CN,CN,*,*,0,,,
CY,CY,*,*,20,,,
CO,CO,*,*,0,,,
KM,KM,*,*,0,,,
CG,CG,*,*,0,,,
KP,KP,*,*,0,,,
KR,KR,*,*,0,,,
CR,CR,*,*,0,,,
HR,HR,*,*,0,,,
CU,CU,*,*,0,,,
CI,CI,*,*,0,,,
DK,DK,*,*,20,,,
DJ,DJ,*,*,0,,,
DM,DM,*,*,0,,,
SV,SV,*,*,0,,,
ES,ES,*,*,20,,,
EE,EE,*,*,20,,,
FJ,FJ,*,*,0,,,
FI,FI,*,*,20,,,
FR,FR,*,*,20,,,
GA,GA,*,*,0,,,
GM,GM,*,*,0,,,
GH,GH,*,*,0,,,
GI,GI,*,*,20,,,
GD,GD,*,*,0,,,
GL,GL,*,*,0,,,
GR,GR,*,*,20,,,
GP,GP,*,*,20,,,
GU,GU,*,*,0,,,
GT,GT,*,*,0,,,
GG,GG,*,*,20,,,
GN,GN,*,*,0,,,
GQ,GQ,*,*,0,,,
GW,GW,*,*,0,,,
GY,GY,*,*,0,,,
GF,GF,*,*,20,,,
GE,GE,*,*,0,,,
GS,GS,*,*,0,,,
HT,HT,*,*,0,,,
HN,HN,*,*,0,,,
HU,HU,*,*,20,,,
IN,IN,*,*,0,,,
ID,ID,*,*,0,,,
IQ,IQ,*,*,0,,,
IR,IR,*,*,0,,,
IE,IE,*,*,20,,,
IS,IS,*,*,0,,,
IL,IL,*,*,0,,,
IT,IT,*,*,20,,,
JM,JM,*,*,0,,,
JP,JP,*,*,0,,,
JE,JE,*,*,20,,,
JO,JO,*,*,0,,,
KZ,KZ,*,*,0,,,
KE,KE,*,*,0,,,
KG,KG,*,*,0,,,
KI,KI,*,*,0,,,
KW,KW,*,*,0,,,
LA,LA,*,*,0,,,
LS,LS,*,*,0,,,
LV,LV,*,*,20,,,
LB,LB,*,*,0,,,
LY,LY,*,*,0,,,
LR,LR,*,*,0,,,
LI,LI,*,*,0,,,
LT,LT,*,*,20,,,
LU,LU,*,*,20,,,
MK,MK,*,*,0,,,
MG,MG,*,*,0,,,
MY,MY,*,*,0,,,
MW,MW,*,*,0,,,
MV,MV,*,*,0,,,
ML,ML,*,*,0,,,
MT,MT,*,*,20,,,
MA,MA,*,*,0,,,
MQ,MQ,*,*,20,,,
MU,MU,*,*,0,,,
MR,MR,*,*,0,,,
YT,YT,*,*,0,,,
MX,MX,*,*,0,,,
MD,MD,*,*,0,,,
MC,MC,*,*,20,,,
MN,MN,*,*,0,,,
MS,MS,*,*,0,,,
ME,ME,*,*,0,,,
MZ,MZ,*,*,0,,,
MM,MM,*,*,0,,,
NA,NA,*,*,0,,,
NR,NR,*,*,0,,,
NI,NI,*,*,0,,,
NE,NE,*,*,0,,,
NG,NG,*,*,0,,,
NU,NU,*,*,0,,,
NO,NO,*,*,0,,,
NC,NC,*,*,0,,,
NZ,NZ,*,*,0,,,
NP,NP,*,*,0,,,
OM,OM,*,*,0,,,
UG,UG,*,*,0,,,
UZ,UZ,*,*,0,,,
PK,PK,*,*,0,,,
PW,PW,*,*,0,,,
PA,PA,*,*,0,,,
PG,PG,*,*,0,,,
PY,PY,*,*,0,,,
NL,NL,*,*,20,,,
PH,PH,*,*,0,,,
PN,PN,*,*,0,,,
PL,PL,*,*,20,,,
PF,PF,*,*,20,,,
US-CA-*-Rate 1,US,CA,*,8.25,,,
US-NY-*-Rate 1,US,NY,*,8.375,,,
